date,bias,orb_high,orb_low,entry,side,stop_loss,take_profit,exit_price,exit_reason,pnl,equity
2026-05-20,LONG,736.12,734.32,736.13,buy,734.32,739.75,734.32,stop_loss,-999.12,99000.88
2026-05-21,LONG,738.57,737.51,738.58,buy,737.51,740.72,737.51,stop_loss,-989.75,98011.13
2026-05-22,LONG,748.09,745.76,748.1,buy,745.76,752.78,747.12,eod_close,-409.64,97601.49
2026-05-26,LONG,750.68,749.16,750.69,buy,749.16,753.75,749.16,stop_loss,-974.61,96626.88
2026-05-27,LONG,751.25,749.24,751.26,buy,749.24,755.3,749.24,stop_loss,-965.56,95661.32
2026-05-28,LONG,750.36,749.25,750.37,buy,749.25,752.61,752.61,take_profit,1912.96,97574.28
2026-05-29,LONG,757.38,755.57,757.39,buy,755.57,761.03,755.57,stop_loss,-975.52,96598.76
2026-06-01,LONG,756.59,754.74,756.6,buy,754.74,760.32,759.42,eod_close,1463.58,98062.34
2026-06-02,LONG,757.71,756.75,757.72,buy,756.75,759.66,759.66,take_profit,1959.4,100021.74
2026-06-03,LONG,758.79,756.48,,,,,,no_trade,0.0,100021.74
2026-06-04,LONG,753.37,751.47,753.38,buy,751.47,757.2,757.2,take_profit,1997.86,102019.6
2026-06-05,LONG,752.8,750.28,,,,,,no_trade,0.0,102019.6
2026-06-08,FLAT,,,,,,,,flat_bias,0.0,102019.6
2026-06-09,FLAT,,,,,,,,flat_bias,0.0,102019.6
2026-06-10,FLAT,,,,,,,,flat_bias,0.0,102019.6
2026-06-11,FLAT,,,,,,,,flat_bias,0.0,102019.6
2026-06-12,FLAT,,,,,,,,flat_bias,0.0,102019.6
2026-06-15,FLAT,,,,,,,,flat_bias,0.0,102019.6
2026-06-16,FLAT,,,,,,,,flat_bias,0.0,102019.6
2026-06-17,FLAT,,,,,,,,flat_bias,0.0,102019.6
2026-06-18,FLAT,,,,,,,,flat_bias,0.0,102019.6
2026-06-22,FLAT,,,,,,,,flat_bias,0.0,102019.6
2026-06-23,FLAT,,,,,,,,flat_bias,0.0,102019.6
2026-06-24,FLAT,,,,,,,,flat_bias,0.0,102019.6
2026-06-25,FLAT,,,,,,,,flat_bias,0.0,102019.6
2026-06-26,FLAT,,,,,,,,flat_bias,0.0,102019.6
2026-06-29,FLAT,,,,,,,,flat_bias,0.0,102019.6
2026-06-30,FLAT,,,,,,,,flat_bias,0.0,102019.6
2026-07-01,FLAT,,,,,,,,flat_bias,0.0,102019.6
2026-07-02,FLAT,,,,,,,,flat_bias,0.0,102019.6
